SOS, A_DEK 
SPD_(Sozialdemokratische_Partei_Deutschlands), A_DEK 
Stellv._(Stellvertreter), A_DEK 
StVO_(Straßenverkehrsordnung), A_DEK 
Tab._(Tabelle), A_DEK 
Tbc_(Tuberkulose), A_DEK 
THW_(Technisches_Hilfswerk), A_DEK 
to_(Tonne), A_DEK 
TSV_(Turn-_und_Sportverein), A_DEK 
TU_(Technische_Universität), A_DEK 
TUS_(Turn-_und_Sportverein), A_DEK 
TÜV_(Technischer_Überwachungsverein), A_DEK 
u._a._(und_andere), A_DEK 
u._a._(unter_anderem), A_DEK 
UFA_(Universum_Film_AG), A_DEK 
Ufo_(unidentifiziertes_Flugobjekt), A_DEK 
UNO, A_DEK 
usw._(und_so_weiter), A_DEK 
usw._usf._(und_so_weiter_und_so_fort), A_DEK 
UTC_(Coordinated_Universal_Time), A_DEK 
UV_(ultraviolett), A_DEK 
verh._(verheiratet), A_DEK 
Verz._(Verzeichnis), A_DEK 
Vfl_(Verein_für_Leibesübungen), A_DEK 
VW_(Volkswagen), A_DEK 
WC_(Toilette), A_DEK 
WG_(Wohngemeinschaft), A_DEK 
z._B._(zum_Beispiel), A_DEK 
ZA_(Zahnarzt), A_DEK 
ZDF_(Zweites_Deutsches_Fernsehen), A_DEK 
ZOB_(Zentraler_Omnibus-Bahnhof), A_DEK 
ab_Oktober, B_DEK 
alle_Völker, B_DEK 
Aloe_vera, B_DEK 
am_breitesten, B_DEK 
am_Folgetag, B_DEK 
am_geeignetsten, B_DEK 
am_härtesten, B_DEK 
am_idealsten, B_DEK 
am_intelligentesten, B_DEK 
am_interessantesten, B_DEK 
am_langsamsten, B_DEK 
am_langsamsten_v2, B_DEK 
am_liebsten, B_DEK 
am_Montag, B_DEK 
am_praktischsten, B_DEK 
am_weitesten, B_DEK 
an_Bord, B_DEK 
Anker_werfen, B_DEK 
auf_Abwegen, B_DEK 
Auf_Wiedersehen, B_DEK 
außer_Dienst, B_DEK 
außer_Stande, B_DEK 
Ave_Maria, B_DEK 
bedingungsloses_Grundeinkommen, B_DEK 
bei_weitem, B_DEK 
beide_Bögen, B_DEK 
bengalisches_Feuer, B_DEK 
bewenden_lassen, B_DEK 
bis_dahin, B_DEK 
bis_hierher, B_DEK 
bis_jetzt, B_DEK 
blühende_Landschaften, B_DEK 
Border_Collie, B_DEK 
bärtige_Männer, B_DEK 
böiger_Wind, B_DEK 
Bürgerliches_Gesetzbuch, B_DEK 
das_Abkommen, B_DEK 
das_Alter, B_DEK 
das_Bett, B_DEK 
das_Bettlaken, B_DEK 
das_Boot, B_DEK 
das_Ei, B_DEK 
das_Foto, B_DEK 
das_Gebet, B_DEK 
das_Geschriebene, B_DEK 
das_Gewordene, B_DEK 
das_ist's, B_DEK 
das_Kinn, B_DEK 
das_Knie, B_DEK 
das_Meter, B_DEK 
das_Motto, B_DEK 
das_Omen, B_DEK 
das_Pack, B_DEK 
das_Panoramacafé, B_DEK 
das_Reck, B_DEK 
das_Rohr, B_DEK 
das_Seiende, B_DEK 
das_Sein, B_DEK 
das_T-Eisen, B_DEK 
das_Thermometer, B_DEK 
das_Verbot, B_DEK 
den_Roggen, B_DEK 
den_Ton, B_DEK 
der_Berg, B_DEK 
der_Bogen, B_DEK 
der_Bohrer, B_DEK 
der_Bote, B_DEK 
der_ei-Laut, B_DEK 
der_Erker, B_DEK 
der_Föhn, B_DEK 
der_Geber, B_DEK 
der_Göttertrank, B_DEK 
der_Haarföhn, B_DEK 
der_Haartrockner, B_DEK 
der_Haken, B_DEK 
der_i-Punkt, B_DEK 
der_Kegel, B_DEK 
der_Kegler, B_DEK 
der_Kenner, B_DEK 
der_Kerker, B_DEK 
der_Kitt, B_DEK 
der_Koffer, B_DEK 
der_Kokon, B_DEK 
der_Komet, B_DEK 
der_Kreidefelsen, B_DEK 
der_Käfer, B_DEK 
der_Kämmerer, B_DEK 
der_Mai, B_DEK 
der_Main, B_DEK 
der_Mann, B_DEK 
der_Meter, B_DEK 
der_Nepp, B_DEK 
der_Pate, B_DEK 
der_Queue, B_DEK 
der_Queue_v2, B_DEK 
der_Recke, B_DEK 
der_Regen, B_DEK 
der_Reim, B_DEK 
der_Retter, B_DEK 
der_Roggen, B_DEK 
der_Saal, B_DEK 
der_Schrein, B_DEK 
der_Schreiner, B_DEK 
der_Spion, B_DEK 
der_Taler, B_DEK 
der_Tee, B_DEK 
der_Teer, B_DEK 
der_Tenor, B_DEK 
der_Ton, B_DEK 
der_Treueste, B_DEK 
der_Treuste, B_DEK 
der_Täter, B_DEK 
der_Türöffner, B_DEK 
der_Vater, B_DEK 
der_Verkehr, B_DEK 
der_Vermerk, B_DEK 
der_Weg, B_DEK 
der_Wille, B_DEK 
der_Ärger, B_DEK 
der_Ökonom, B_DEK 
des_Baus, B_DEK 
des_Besitzers, B_DEK 
des_Doktors, B_DEK 
des_Fotos, B_DEK 
des_Jüngers, B_DEK 
des_Jünglings, B_DEK 
des_Knies, B_DEK 
des_Kuriers, B_DEK 
des_Mannes, B_DEK 
des_Monats, B_DEK 
des_Palais', B_DEK 
des_Palais'_v2, B_DEK 
des_Rehs, B_DEK 
des_Reises, B_DEK 
des_Räubers, B_DEK 
des_Salats, B_DEK 
des_Schiffs, B_DEK 
des_Schuhs, B_DEK 
des_Schädels, B_DEK 
des_Spions, B_DEK 
des_Sports, B_DEK 
des_Stadtrats, B_DEK 
des_Staus, B_DEK 
des_Tees, B_DEK 
des_Teiles, B_DEK 
des_Teils, B_DEK 
des_Vereins, B_DEK 
des_Wassers, B_DEK 
desto_besser, B_DEK 
desto_höher, B_DEK 
desto_kürzer, B_DEK 
desto_mehr, B_DEK 
desto_schneller, B_DEK 
desto_schöner, B_DEK 
desto_weniger, B_DEK 
Deutsche_Mark, B_DEK 
Deutsches_Reich, B_DEK 
die_Amme, B_DEK 
die_Bitte, B_DEK 
die_Boje, B_DEK 
die_Boten, B_DEK 
die_Bö, B_DEK 
die_Doktoren, B_DEK 
die_Dotter, B_DEK 
die_Ebbe, B_DEK 
die_Ebene, B_DEK 
die_Ebenen, B_DEK 
die_Ecke, B_DEK 
die_Ehre, B_DEK 
die_Feder, B_DEK 
die_Fotokamera, B_DEK 
die_Galle, B_DEK 
die_H-Bombe, B_DEK 
die_Hast, B_DEK 
die_hintersten, B_DEK 
die_Kammer, B_DEK 
die_Kö, B_DEK 
die_Miete, B_DEK 
die_Mitte, B_DEK 
die_Mohren, B_DEK 
die_Mosel, B_DEK 
die_Motte, B_DEK 
die_Männer, B_DEK 
die_netten, B_DEK 
die_Nichtachtung, B_DEK 
die_Nichtbeachtung, B_DEK 
die_Ode, B_DEK 
die_Oder, B_DEK 
die_Ohren, B_DEK 
die_Oper, B_DEK 
die_Poren, B_DEK 
die_Rabatte, B_DEK 
die_Rebe, B_DEK 
die_Retter, B_DEK 
die_Saale, B_DEK 
die_Saar, B_DEK 
die_Tonnen, B_DEK 
die_Toten, B_DEK 
Die_Treidler, B_DEK 
die_Uhr, B_DEK 
die_Väter, B_DEK 
die_Weser, B_DEK 
die_Wogen, B_DEK 
die_Wolle, B_DEK 
die_Wupper, B_DEK 
die_Wärme, B_DEK 
die_Würde, B_DEK 
die_Äcker, B_DEK 
Dienst_schieben, B_DEK 
diese_Aussonderungen, B_DEK 
dieses_Jahres, B_DEK 
dieses_Monats, B_DEK 
du_bist, B_DEK 
du_hast, B_DEK 
du_hattest, B_DEK 
du_hältst, B_DEK 
du_hättest, B_DEK 
du_kannst, B_DEK 
du_kanntest, B_DEK 
du_konntest, B_DEK 
du_sollst, B_DEK 
du_solltest, B_DEK 
du_sparst, B_DEK 
du_sähst, B_DEK 
du_säst, B_DEK 
du_warst, B_DEK 
du_willst, B_DEK 
du_wirst, B_DEK 
du_wolltest, B_DEK 
du_wurdest, B_DEK 
du_wärst, B_DEK 
du_würdest, B_DEK 
durch_Üben, B_DEK 
ebenso_lange, B_DEK 
ebenso_sehr, B_DEK 
ebenso_viel, B_DEK 
ebenso_wenig, B_DEK 
ehrenhafte_Männer, B_DEK 
Ein_Sommernachtstraum, B_DEK 
eingetragener_Verein, B_DEK 
elf_Käfer, B_DEK 
Elter_1, B_DEK 
Elter_2, B_DEK 
Elter_Eins, B_DEK 
Elter_Zwei, B_DEK 
en_gros, B_DEK 
epitheliale_Tumoren, B_DEK 
er_bot, B_DEK 
er_erlegte, B_DEK 
er_gab, B_DEK 
er_geht, B_DEK 
er_hat, B_DEK 
er_hatte, B_DEK 
er_hätte, B_DEK 
er_ist's, B_DEK 
er_ist, B_DEK 
er_kann, B_DEK 
er_kannte, B_DEK 
er_konnte, B_DEK 
er_leiht, B_DEK 
er_naht, B_DEK 
er_rettet, B_DEK 
er_rettete, B_DEK 
er_sollte, B_DEK 
er_war, B_DEK 
er_will, B_DEK 
er_wird, B_DEK 
er_wirds, B_DEK 
er_wollte, B_DEK 
er_wurde, B_DEK 
er_wäre, B_DEK 
er_würde, B_DEK 
es_geht, B_DEK 
es_regnet, B_DEK 
es_regnete, B_DEK 
es_würde, B_DEK 
etwas_aussondern, B_DEK 
fahren_Sie, B_DEK 
Farbe_bekennen, B_DEK 
Fata_Morgana, B_DEK 
Federn_lassen, B_DEK 
Fehlingsche_Lösung, B_DEK 
Fehlingsche_Probe, B_DEK 
ferner_liefen, B_DEK 
fünf_Türen, B_DEK 
fürs_Erste, B_DEK 
gegen_Mittag, B_DEK 
gegen_Morgen, B_DEK 
geh_weg, B_DEK 
geradeso_gut, B_DEK 
geradeso_viel, B_DEK 
Gin_Tonic, B_DEK 
Ginger_Ale, B_DEK 
Grimms_Märchen, B_DEK 
grippaler_Infekt, B_DEK 
Größe_L, B_DEK 
Größe_M, B_DEK 
Größe_S, B_DEK 
Größe_XL, B_DEK 
Gullivers_Reisen, B_DEK 
Haare_lassen, B_DEK 
hat_er's, B_DEK 
hau_ruck, B_DEK 
heilige_Kuh, B_DEK 
helf_Gott, B_DEK 
hohe_Ähren, B_DEK 
ich_bin, B_DEK 
ich_bog, B_DEK 
ich_fege, B_DEK 
ich_gebe, B_DEK 
ich_habe, B_DEK 
ich_hätte, B_DEK 
ich_kann, B_DEK 
ich_kannte, B_DEK 
ich_kenne, B_DEK 
ich_komme, B_DEK 
ich_konnte, B_DEK 
ich_meine, B_DEK 
ich_nehme, B_DEK 
ich_rette, B_DEK 
ich_sei, B_DEK 
ich_soll, B_DEK 
ich_sollte, B_DEK 
ich_war, B_DEK 
ich_werde, B_DEK 
ich_will, B_DEK 
ich_wollte, B_DEK 
ich_wurde, B_DEK 
ich_wäre, B_DEK 
ich_würde, B_DEK 
ich_zitiere, B_DEK 
ihr_habt, B_DEK 
ihr_hattet, B_DEK 
ihr_hättet, B_DEK 
ihr_kanntet, B_DEK 
ihr_seid, B_DEK 
ihr_sollt, B_DEK 
ihr_solltet, B_DEK 
ihr_wart, B_DEK 
ihr_werdet, B_DEK 
ihr_wollt, B_DEK 
ihr_wolltet, B_DEK 
ihr_wurdet, B_DEK 
ihr_wäret, B_DEK 
ihr_wärt, B_DEK 
ihr_würdet, B_DEK 
im_Allgemeinen, B_DEK 
im_Auftrag, B_DEK 
im_Einvernehmen, B_DEK 
im_Grunde, B_DEK 
im_Inneren, B_DEK 
im_Innern, B_DEK 
im_Innern_v2, B_DEK 
im_Nu, B_DEK 
im_Tran, B_DEK 
in_Regalen, B_DEK 
in_Sonderheit, B_DEK 
in_Vertretung, B_DEK 
infrage_stellen, B_DEK 
ist_er's, B_DEK 
Jiu_Jitsu, B_DEK 
kann_ichs, B_DEK 
klart_auf, B_DEK 
klarte_auf, B_DEK 
Klasse_B, B_DEK 
kleine_Betriebe, B_DEK 
komm_her, B_DEK 
Kritik_üben, B_DEK 
Kung_Fu, B_DEK 
